VIDEOJUEGO,PC,PS4,PS5,SWITCH,XBOne,XSX,ANDROID,DESCRIPCION,ENTORNO,FECHAESTRENO,GENERO,IPHONE,MODOPARTIDA,MULTIJUGADOR,PLATAFORMA,ROL
Deep Down,,PS4,,,,,,PlayStation 4,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Dead or Alive Xtreme 3: Fortune,,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Dead Island 2,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Cyberpunk 2077,PC,PS4,PS5,,XBOne,XSX,,ciberpunk,,Fecha de lanzamiento: 19/11/2020,,,,,PC,
Cris Tales,PC,PS4,,Switch,XBOne,,,,,Fecha de lanzamiento: 17/11/2020,,,,Cris Tales,PC,
Crash Bandicoot 4: It's About Time,,PS4,,,XBOne,,,,,Fecha de lanzamiento: 2/10/2020,,,,,PS4,
Chernobylite,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,survival horror,,,Chernobylite,PC,
Bravely Default 2,,,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,,,Switch,
Blue Protocol,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Blockade 3D,PC,,,,,,,armas reales y futuristas,,Fecha de lanzamiento: Año 2020,"free-to-play,",,,multijugador,PC,
Biomutant,PC,PS4,,,XBOne,,,Biomutant,THQ Nordic y Experiment 101.,Fecha de lanzamiento: Año 2020,,,,,PS4,
Beyond Good & Evil 2,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Bayonetta 3,,,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,,,Switch,
Baldur's Gate 3,PC,,,,,,,,,Fecha de lanzamiento: 30/9/2020,,,,Baldur's Gate 3,PC,
Baldo,PC,PS4,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,cel shading,,PC,
Babylon's Fall,PC,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Atomic Heart,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Assassin's Creed Valhalla,PC,PS4,PS5,,XBOne,XSX,,,,Fecha de lanzamiento: 10/11/2020,,,,,XSX,
Amazing Frog?,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Age of Empires 4,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
13 Sentinels: Aegis Rim,,PS4,,,,,,ciencia ficción,,Fecha de lanzamiento: 22/9/2020,,,,,PS4,
